idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
61 lo 0x0 512 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 lo 0x0 1000 0 91 2 91 2 0 0 91 2 0 0 0 0 91 2 0 0
63 lo 0x0 1000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64 lo 0x0 2000 0 88541 554 91878 577 88541 554 0 0 0 0 91878 577 0 0 0 0
65 lo 0x0 2000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66 lo 0x0 10115 0 41926 331 40329 340 41926 331 0 0 0 0 40329 340 0 0 0 0
67 lo 0x0 10115 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
68 lo 0x0 178873664 0 52 1 0 0 52 1 0 0 0 0 0 0 0 0 0 0
69 lo 0x0 178873664 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
70 lo 0x0 843234760 0 52 1 0 0 52 1 0 0 0 0 0 0 0 0 0 0
71 lo 0x0 843234760 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
72 lo 0x0 3145991248 0 52 1 0 0 52 1 0 0 0 0 0 0 0 0 0 0
73 lo 0x0 3145991248 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
74 lo 0x0 3248288704 0 52 1 0 0 52 1 0 0 0 0 0 0 0 0 0 0
75 lo 0x0 3248288704 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 lo 0x0 3250125856 0 52 1 0 0 52 1 0 0 0 0 0 0 0 0 0 0
77 lo 0x0 3250125856 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
